[00:00:00] Build started
[00:00:02] git clone -q https://github.com/con/tinuous.git /home/appveyor/projects/tinuous
[00:00:05] git fetch -q origin +refs/pull/114/merge:
[00:00:06] git checkout -qf FETCH_HEAD
[00:00:07] Running "install" scripts
[00:00:07] $HOME/venv$PY/bin/python -m pip install --upgrade pip wheel
[00:00:09] Requirement already satisfied: pip in /home/appveyor/venv3.9.5/lib/python3.9/site-packages (21.1.2)
[00:00:10] Requirement already satisfied: wheel in /home/appveyor/venv3.9.5/lib/python3.9/site-packages (0.36.2)
[00:00:10] $HOME/venv$PY/bin/python -m pip install --upgrade --upgrade-strategy=eager tox
[00:00:12] Collecting tox
[00:00:12]   Downloading tox-3.23.1-py2.py3-none-any.whl (85 kB)
[00:00:12] 
[00:00:12]      |███▉                            | 10 kB 4.8 MB/s eta 0:00:01
[00:00:12]      |███████▊                        | 20 kB 3.2 MB/s eta 0:00:01
[00:00:12]      |███████████▌                    | 30 kB 4.1 MB/s eta 0:00:01
[00:00:12]      |███████████████▍                | 40 kB 4.9 MB/s eta 0:00:01
[00:00:12]      |███████████████████▎            | 51 kB 5.5 MB/s eta 0:00:01
[00:00:12]      |███████████████████████         | 61 kB 5.7 MB/s eta 0:00:01
[00:00:12]      |███████████████████████████     | 71 kB 5.5 MB/s eta 0:00:01
[00:00:12]      |██████████████████████████████▊ | 81 kB 3.7 MB/s eta 0:00:01
[00:00:12]      |████████████████████████████████| 85 kB 1.3 MB/s 
[00:00:12] Collecting filelock>=3.0.0
[00:00:12]   Downloading filelock-3.0.12-py3-none-any.whl (7.6 kB)
[00:00:13] Collecting virtualenv!=20.0.0,!=20.0.1,!=20.0.2,!=20.0.3,!=20.0.4,!=20.0.5,!=20.0.6,!=20.0.7,>=16.0.0
[00:00:13]   Downloading virtualenv-20.4.7-py2.py3-none-any.whl (7.2 MB)
[00:00:13] 
[00:00:13]      |                                | 10 kB 1.8 MB/s eta 0:00:04
[00:00:13]      |                                | 20 kB 3.4 MB/s eta 0:00:03
[00:00:13]      |▏                               | 30 kB 4.4 MB/s eta 0:00:02
[00:00:13]      |▏                               | 40 kB 5.4 MB/s eta 0:00:02
[00:00:13]      |▎                               | 51 kB 6.1 MB/s eta 0:00:02
[00:00:13]      |▎                               | 61 kB 5.7 MB/s eta 0:00:02
[00:00:13]      |▎                               | 71 kB 6.0 MB/s eta 0:00:02
[00:00:13]      |▍                               | 81 kB 4.2 MB/s eta 0:00:02
[00:00:13]      |▍                               | 92 kB 4.5 MB/s eta 0:00:02
[00:00:13]      |▌                               | 102 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |▌                               | 112 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |▌                               | 122 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |▋                               | 133 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |▋                               | 143 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |▊                               | 153 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |▊                               | 163 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |▊                               | 174 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |▉                               | 184 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |▉                               | 194 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█                               | 204 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█                               | 215 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█                               | 225 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█                               | 235 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█                               | 245 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▏                              | 256 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▏                              | 266 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▎                              | 276 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▎                              | 286 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▎                              | 296 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▍                              | 307 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▍                              | 317 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▌                              | 327 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▌                              | 337 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▌                              | 348 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▋                              | 358 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▋                              | 368 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▊                              | 378 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▊                              | 389 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▊                              | 399 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▉                              | 409 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |█▉                              | 419 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██                              | 430 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██                              | 440 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██                              | 450 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██                              | 460 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██                              | 471 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▏                             | 481 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▏                             | 491 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▏                             | 501 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▎                             | 512 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▎                             | 522 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▍                             | 532 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▍                             | 542 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▌                             | 552 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▌                             | 563 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▌                             | 573 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▋                             | 583 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▋                             | 593 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▊                             | 604 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▊                             | 614 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▊                             | 624 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▉                             | 634 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |██▉                             | 645 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███                             | 655 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███                             | 665 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███                             | 675 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███                             | 686 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███                             | 696 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▏                            | 706 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▏                            | 716 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▏                            | 727 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▎                            | 737 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▎                            | 747 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▍                            | 757 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▍                            | 768 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▌                            | 778 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▌                            | 788 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▌                            | 798 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▋                            | 808 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▋                            | 819 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▊                            | 829 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▊                            | 839 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▊                            | 849 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▉                            | 860 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |███▉                            | 870 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |████                            | 880 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |████                            | 890 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |████                            | 901 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |████                            | 911 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |████                            | 921 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▏                           | 931 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▏                           | 942 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▏                           | 952 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▎                           | 962 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▎                           | 972 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▍                           | 983 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▍                           | 993 kB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▍                           | 1.0 MB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▌                           | 1.0 MB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▌                           | 1.0 MB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▋                           | 1.0 MB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▋                           | 1.0 MB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▊                           | 1.1 MB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▊                           | 1.1 MB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▊                           | 1.1 MB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▉                           | 1.1 MB 4.9 MB/s eta 0:00:02
[00:00:13]      |████▉                           | 1.1 MB 4.9 MB/s eta 0:00:02
[00:00:13]      |█████                           | 1.1 MB 4.9 MB/s eta 0:00:02
[00:00:13]      |█████                           | 1.1 MB 4.9 MB/s eta 0:00:02
